items_id,asks-for,p_contents_eng,a1_contents_eng,a2_contents_eng,correct_answers,p_contents_kz,a1_contents_kz,a2_contents_kz
501,cause,The item was packaged in bubble wrap.,It was fragile.,It was small.,1,Элемент көпіршік орамаларына оралды.,Бұл нәзік болды.,Бұл кішкентай болды.
502,effect,I emptied my pockets.,I retrieved a ticket stub.,I found a weapon.,1,Мен қалтамды босатамын.,Мен билет кестесін шығардым.,Мен қару таптым.
503,effect,Termites invaded the house.,The termites disappeared from the house.,The termites ate through the wood in the house.,2,Термиттер үйді басып алды.,Термиттер үйден жоғалып кетті.,Терметтер үйдегі ағаштан жеді.
504,effect,The travelers reached the border.,The patrol agent checked their passports.,The patrol agent accused them of smuggling.,1,Саяхатшылар шекараға жетті.,Патрульдік агент паспорттарын тексерді.,Патрульдік агент оларды контрабанданың деп айыптады деп айыптады.
505,cause,The office was closed.,It was a holiday.,It was summer.,1,Кеңсе жабылды.,Бұл мереке болды.,Бұл жаз болды.
506,cause,The girl ran out of energy.,She played checkers.,She jumped rope.,2,Қыз энергетикалық болып қалды.,Ол дойбы ойнады.,Ол арқанмен секірді.
507,cause,The woman lost her place in line.,More people entered the line.,She stepped out of the line.,2,Әйел өз орнынан өз орнынан айырылды.,Жолға көбірек адамдар кірді.,Ол сызықтан шықты.
508,cause,The girl pinched her nose.,The baby drooled on her bib.,The baby soiled her diaper.,2,Қыз мұрнын қысып алды.,Нәресте оның бибіне жүгінді.,Нәресте жөргекті лақтырды.
509,effect,The band played their hit song.,The audience clapped along to the music.,The audience politely listened in silence.,1,Топтар хит әндерін ойнады.,Аудитория музыкаға сәйкес келеді.,Көрермендер үнсіз тыңдады.
510,effect,The girl wanted to thank her math teacher.,The girl stayed after school for detention.,The girl brought the teacher an apple.,2,Қыз оған математика пәнінің мұғаліміне алғыс айтқысы келді.,Қыз мектептен кейін ұсталғаннан кейін қалды.,Қыз мұғалімге алма әкелді.
511,cause,The young campers felt scared.,Their camp counselor told them a ghost story.,They toasted marshmallows on the campfire.,1,Жас лагерьлер қорқып кетті.,Олардың лагері кеңесшісі оларға елес тарихы туралы айтты.,Олар лагерьдегі маршалдарды тосттты.
512,effect,The man hit his head.,He got lost in thought.,He got a concussion.,2,Ер адам басын ұрды.,Ол ойдан айырылды.,Ол шайқалды.
513,cause,The check I wrote bounced.,My bank account was empty.,I earned a pay raise.,1,Мен оны тексеруді тексердім.,Менің банктік шотым бос болды.,Мен жалақыны көтеруді таптым.
514,effect,The man's email inbox was full of spam.,He deleted the spam.,He sent out a mass email.,1,Ер адамның электрондық поштасы жәшігі спамға толы болды.,Ол спамды жойды.,Ол жаппай электрондық поштаны жіберді.
515,cause,The sailor was quarantined.,He was exposed to the disease.,He recovered from the disease.,1,Теңізші карантинге қойылды.,Ол ауруға ұшырады.,Ол аурудан қалпына келді.
516,cause,The girl memorized the code.,She recited it to herself.,She forgot to write it down.,1,Қыз Кодты жаттап алды.,Ол оны өзіне оқыды.,Ол оны жазуды ұмытып кетті.
517,effect,I poured the water into the glass.,The water quenched my thirst.,The glass became full.,2,Мен суды әйнекке құйдым.,Су менің шөлдеуімді қалады.,Шыны толып кетті.
518,cause,The man remained silent when his friend finishing speaking.,He wanted to offer his friend support.,He was thinking about his friend's words.,2,Досы сөйлеген кезде ер адам үнсіз қалды.,Ол өзінің досының қолдауын ұсынғысы келді.,Ол досының сөздері туралы ойлады.
519,effect,The accident was my fault.,I felt guilty.,I pressed charges.,1,Апат менің кінәм болды.,Мен өзімді кінәлі сезіндім.,Мен төлемдерді басқанмын.
520,cause,The chain came apart.,The chain was wrapped around a tire.,There was a broken link in the chain.,2,Тізбек бөлек келді.,Тізбек шинаға оралған.,Тізбекте сынған сілтеме болды.
521,cause,The couple decided to compromise.,They grew tired of arguing.,They avoided discussing the problem.,1,Ерлі-зайыптылар ымыраға келу туралы шешім қабылдады.,Олар дау-дамайдан шаршады.,Олар мәселені талқылауға жол бермеді.
522,effect,The woman decided to run for public office.,She hired a campaign manager.,She testified in court.,1,Әйел мемлекеттік кеңсеге жұмыс істеуге шешім қабылдады.,Ол науқан менеджерін жалдады.,Ол сотта куәлік берді.
523,effect,The man anticipated cold weather on his trip.,He packed warm clothing in his suitcase.,He travelled with a big suitcase.,1,Ер адам сапарында суық ауа-райын күтті.,Ол өзінің чемоданында жылы киімдерді жинады.,Ол үлкен чемоданмен саяхаттады.
524,effect,The student knew the answer to the question.,He raised his hand.,He goofed off.,1,Студент сұраққа жауап білді.,Ол қолын көтерді.,Ол кетіп қалды.
525,cause,The man's eyes watered.,Dust got into his eyes.,He put goggles over his eyes.,1,Ер адамның көзі суарылды.,Шаң көзіне түсіп кетті.,Ол көзіне көзілдірігін қойды.
526,effect,The player won five games in a row.,Her opponent accused her of cheating.,Her opponent felt sorry for her.,1,Ойыншы бес ойын қатарынан жеңді.,Оның қарсыласы оны алдады деп айыптады.,Оның қарсыласы оған кешірім сұрады.
527,cause,The teacher tore up the student's exam.,He caught the student cheating.,The student's answers were incorrect.,1,Мұғалім студенттің емтиханын жыртып тастады.,Ол оқушыны алдауды ұстап алды.,Студенттің жауаптары дұрыс болмады.
